[Epoch: 1], Train accuracy: 58.72%, Test accuracy: 63.90%
[Epoch: 2], Train accuracy: 65.38%, Test accuracy: 64.24%
[Epoch: 3], Train accuracy: 67.72%, Test accuracy: 65.03%
[Epoch: 4], Train accuracy: 71.08%, Test accuracy: 77.07%
[Epoch: 5], Train accuracy: 79.71%, Test accuracy: 84.80%
[Epoch: 6], Train accuracy: 79.94%, Test accuracy: 86.01%
[Epoch: 7], Train accuracy: 80.82%, Test accuracy: 86.61%
[Epoch: 8], Train accuracy: 81.27%, Test accuracy: 86.83%
[Epoch: 9], Train accuracy: 81.37%, Test accuracy: 87.13%
[Epoch: 10], Train accuracy: 81.67%, Test accuracy: 87.42%
[Epoch: 11], Train accuracy: 81.70%, Test accuracy: 87.80%
[Epoch: 12], Train accuracy: 81.87%, Test accuracy: 88.23%
[Epoch: 13], Train accuracy: 82.14%, Test accuracy: 88.45%
[Epoch: 14], Train accuracy: 82.15%, Test accuracy: 88.80%
[Epoch: 15], Train accuracy: 82.32%, Test accuracy: 89.15%
[Epoch: 16], Train accuracy: 82.30%, Test accuracy: 89.61%
[Epoch: 17], Train accuracy: 82.38%, Test accuracy: 89.80%
[Epoch: 18], Train accuracy: 82.43%, Test accuracy: 90.06%
[Epoch: 19], Train accuracy: 82.44%, Test accuracy: 90.33%
[Epoch: 20], Train accuracy: 82.42%, Test accuracy: 90.34%
[Epoch: 21], Train accuracy: 83.09%, Test accuracy: 90.50%
[Epoch: 22], Train accuracy: 82.38%, Test accuracy: 90.75%
[Epoch: 23], Train accuracy: 82.19%, Test accuracy: 91.01%
[Epoch: 24], Train accuracy: 81.94%, Test accuracy: 91.16%
